NAME,NORTH,EAST,ELEVATION,TIMESTAMP,LATITUDE,LONGITUDE,TIMESTEP_s_da,DISTANCE_m_da,VELOCITY_kmh_da,VELOCITY_[km/h]_da_smoothed,TIMESTEP_s_da_smoothed,ACCELERATION_ms2_p,ACCELERATION_[m/s^2]_p_smoothed,VELOCITY_kmh_p,EMISSION_[g/s]_p 
10433,186838.5151,161174.5823,53.728381,2019-09-30 05:32:50,50.991669648985706,4.527916981555138,1.023054567071664,15.466199481214469,54.4236054697871,54.42722276055807,1.0229865737834534,-0.03959908927179579,-0.03393138185159606,54.36490711874465,2.6178238365117
10434,186850.1636,161184.504,53.868697,2019-09-30 05:32:51,50.99177416642586,4.528058656095101,1.020749110364498,15.390040328130771,54.277926494088824,54.30242669222926,1.020288568230767,-0.009736646253243693,-0.00700944994846075,54.28958224536545,2.7142527181330456
10435,186861.5643,161194.1954,54.000224,2019-09-30 05:32:52,50.991876460657714,4.528197043425161,1.0186741993280484,15.348642495919218,54.24218363610005,54.27670925439185,1.0180262168498762,0.019596582120629303,0.016200514201219453,54.306348247506605,2.8155235628698265
10436,186872.6625,161203.6295,54.109994,2019-09-30 05:32:53,50.991976040513194,4.528331757252744,1.0168067793952436,15.340785002988714,54.313982882378205,54.33603483423654,1.0163941144995283,0.03747356990281994,0.033182656804971955,54.396660036432635,2.883086885711051
10437,186883.5939,161212.8247,54.232963,2019-09-30 05:32:54,50.992074125468655,4.5284630637840415,1.0151261014557194,15.354076018108817,54.45104168430534,54.4573680191767,1.0150081738384278,0.051848145316035314,0.04146023247949782,54.53305612547588,2.9421689327064735
10438,186894.4186,161221.9642,54.39526,2019-09-30 05:32:55,50.99217125222014,4.528593574222991,1.013613491310147,15.384506521550668,54.64037717769075,54.60880458021656,1.0141995215483395,0.04666655564496197,0.04708405404727803,54.69464117155427,2.9352830673275987
10439,186905.2864,161230.9675,54.435787,2019-09-30 05:32:56,50.99226876890304,4.528722146578899,1.0122521421791326,15.411693369798973,54.81054948605675,54.78059589671142,1.0128056335109528,0.04607741364414513,0.04771665545191082,54.86747074243229,2.9451140615762545
10440,186916.3064,161239.9321,54.417811,2019-09-30 05:32:57,50.99236765433648,4.528850172943244,1.0110269279612194,15.440167035916133,54.97835892599507,54.954460597849476,1.0114665984270121,0.032418885157539344,0.0423123437017868,55.03136176868702,2.9086985665682477
10441,186927.4337,161248.9356,54.279613,2019-09-30 05:32:58,50.99246750339986,4.528978757231055,1.0099242351650974,15.456410563967514,55.096289496594565,55.10839730892695,1.00970234569441,0.027462275849100746,0.03320649305638178,55.16866690603787,2.9007371960899504
10442,186938.6956,161258.2091,53.975653,2019-09-30 05:32:59,50.992568556987855,4.529111191970161,1.008931811648588,15.46919078487105,55.196085783577566,55.22901851911425,1.008330191605022,0.03681485704515119,0.02425827080060527,55.273044494569746,2.940571047499654
